"AAR","AARMND","ANTALL_ARBEIDSSOKERE","PROSENT_AV_ARBEIDSSTYRKEN","HOVEDGRUPPETEKST","BOSTED_FYLKE_NR_NAVN","BOSTED_KOMMUNE_NR_NAVN"
2024,202412,283,".3","Delvis ledige","Ukjent","I alt"
2025,202507,8,"0","Helt ledige","Ukjent","I alt"
2024,202410,221,".2","Delvis ledige","Ukjent","I alt"
2024,202411,26,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202501,194,".2","Delvis ledige","Ukjent","I alt"
2024,202406,18,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2024,202403,288,".3","Delvis ledige","Ukjent","Ukjent"
2025,202505,22,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2025,202506,210,".2","Delvis ledige","Ukjent","Ukjent"
2025,202501,24,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2024,202403,7,"0","Helt ledige","Ukjent","Ukjent"
2024,202411,264,".3","Delvis ledige","Ukjent","Ukjent"
2024,202404,6,"0","Helt ledige","Ukjent","Ukjent"
2024,202411,26,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2024,202407,6,"0","Helt ledige","Ukjent","Ukjent"
2025,202504,26,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2024,202405,298,".3","Delvis ledige","Ukjent","Ukjent"
2025,202507,8,"0","Helt ledige","Ukjent","Ukjent"
2024,202410,8,"0","Helt ledige","Ukjent","Ukjent"
2025,202505,202,".2","Delvis ledige","Ukjent","Ukjent"
2025,202501,194,".2","Delvis ledige","Ukjent","Ukjent"
2025,202502,24,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2024,202411,8,"0","Helt ledige","Ukjent","Ukjent"
2024,202401,17,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2025,202508,5,"0","Helt ledige","Ukjent","Ukjent"
2024,202404,342,".4","Delvis ledige","Ukjent","Ukjent"
2025,202507,154,".2","Delvis ledige","Ukjent","Ukjent"
2025,202506,3,"0","Helt ledige","Ukjent","Ukjent"
2025,202501,10,"0","Helt ledige","Ukjent","Ukjent"
2024,202410,221,".2","Delvis ledige","Ukjent","Ukjent"
2024,202407,18,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2025,202503,256,".3","Delvis ledige","Ukjent","Ukjent"
2024,202402,13,"0","Helt ledige","Ukjent","Ukjent"
2024,202406,8,"0","Helt ledige","Ukjent","Ukjent"
2024,202409,8,"0","Helt ledige","Ukjent","Ukjent"
2024,202405,8,"0","Helt ledige","Ukjent","Ukjent"
2024,202412,11,"0","Helt ledige","Ukjent","Ukjent"
2025,202507,14,"0","Arbeidssøkere på tiltak","Ukjent","Ukjent"
2025,202508,181,".2","Delvis ledige","Ukjent","Ukjent"
2025,202504,8,"0","Helt ledige","Ukjent","Ukjent"
2024,202408,194,".2","Delvis ledige","Ukjent","Ukjent"
2024,202408,5,"0","Helt ledige","Ukjent","Ukjent"
2025,202505,12,"0","Helt ledige","Ukjent","Ukjent"
2025,202508,1431,".3","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202410,3400,".8","Delvis ledige","03 Oslo","I alt"
2024,202405,3618,".9","Delvis ledige","03 Oslo","I alt"
2024,202410,2168,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2025,202501,3143,".8","Delvis ledige","03 Oslo","I alt"
2024,202409,10695,"2.6","Helt ledige","03 Oslo","I alt"
2025,202503,2164,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202412,3535,".9","Delvis ledige","03 Oslo","I alt"
2024,202412,10444,"2.5","Helt ledige","03 Oslo","I alt"
2024,202410,10458,"2.5","Helt ledige","03 Oslo","I alt"
2025,202508,11991,"2.9","Helt ledige","03 Oslo","I alt"
2024,202403,3593,".9","Delvis ledige","03 Oslo","I alt"
2025,202506,3759,".9","Delvis ledige","03 Oslo","I alt"
2024,202401,1787,".4","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202411,3396,".8","Delvis ledige","03 Oslo","I alt"
2024,202412,2253,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202409,3231,".8","Delvis ledige","03 Oslo","I alt"
2024,202404,10379,"2.5","Helt ledige","03 Oslo","I alt"
2025,202506,11426,"2.8","Helt ledige","03 Oslo","I alt"
2025,202504,1924,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2025,202505,11051,"2.7","Helt ledige","03 Oslo","I alt"
2024,202404,1949,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2025,202502,11496,"2.8","Helt ledige","03 Oslo","I alt"
2025,202502,3460,".8","Delvis ledige","03 Oslo","I alt"
2024,202405,1933,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202411,2209,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202401,3307,".8","Delvis ledige","03 Oslo","I alt"
2025,202501,11580,"2.8","Helt ledige","03 Oslo","I alt"
2024,202406,1654,".4","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202406,10298,"2.5","Helt ledige","03 Oslo","I alt"
2024,202408,10979,"2.7","Helt ledige","03 Oslo","I alt"
2025,202507,12403,"3","Helt ledige","03 Oslo","I alt"
2025,202507,1146,".3","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202403,10587,"2.6","Helt ledige","03 Oslo","I alt"
2025,202508,3132,".8","Delvis ledige","03 Oslo","I alt"
2024,202403,1960,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2025,202501,2166,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202404,3556,".9","Delvis ledige","03 Oslo","I alt"
2025,202503,3634,".9","Delvis ledige","03 Oslo","I alt"
2025,202503,11462,"2.8","Helt ledige","03 Oslo","I alt"
2024,202409,2033,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2025,202504,11135,"2.7","Helt ledige","03 Oslo","I alt"
2025,202505,3616,".9","Delvis ledige","03 Oslo","I alt"
2024,202408,1813,".4","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202407,2361,".6","Delvis ledige","03 Oslo","I alt"
2024,202407,11419,"2.8","Helt ledige","03 Oslo","I alt"
2025,202507,2605,".6","Delvis ledige","03 Oslo","I alt"
2024,202406,3621,".9","Delvis ledige","03 Oslo","I alt"
2024,202402,10752,"2.6","Helt ledige","03 Oslo","I alt"
2025,202506,1662,".4","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202408,2887,".7","Delvis ledige","03 Oslo","I alt"
2024,202405,10064,"2.5","Helt ledige","03 Oslo","I alt"
2025,202502,2203,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202407,1475,".4","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202402,3526,".9","Delvis ledige","03 Oslo","I alt"
2025,202508,1431,".3","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2024,202404,10379,"2.5","Helt ledige","03 Oslo","0301 Oslo"
2024,202401,10789,"2.6","Helt ledige","03 Oslo","I alt"
2025,202505,2041,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2024,202402,1887,".5","Arbeidssøkere på tiltak","03 Oslo","I alt"
2025,202504,3443,".8","Delvis ledige","03 Oslo","I alt"
2024,202411,10394,"2.5","Helt ledige","03 Oslo","I alt"
2024,202406,3621,".9","Delvis ledige","03 Oslo","0301 Oslo"
2024,202409,10695,"2.6","Helt ledige","03 Oslo","0301 Oslo"
2025,202504,1924,".5","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2024,202408,2887,".7","Delvis ledige","03 Oslo","0301 Oslo"
2025,202507,12403,"3","Helt ledige","03 Oslo","0301 Oslo"
2025,202503,3634,".9","Delvis ledige","03 Oslo","0301 Oslo"
2024,202407,1475,".4","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2024,202410,3400,".8","Delvis ledige","03 Oslo","0301 Oslo"
2025,202503,11462,"2.8","Helt ledige","03 Oslo","0301 Oslo"
2024,202412,10444,"2.5","Helt ledige","03 Oslo","0301 Oslo"
2024,202411,3396,".8","Delvis ledige","03 Oslo","0301 Oslo"
2025,202505,11051,"2.7","Helt ledige","03 Oslo","0301 Oslo"
2024,202410,2168,".5","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2024,202408,10979,"2.7","Helt ledige","03 Oslo","0301 Oslo"
2024,202408,1813,".4","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2025,202506,11426,"2.8","Helt ledige","03 Oslo","0301 Oslo"
2025,202507,2605,".6","Delvis ledige","03 Oslo","0301 Oslo"
2024,202402,10752,"2.6","Helt ledige","03 Oslo","0301 Oslo"
2025,202502,11496,"2.8","Helt ledige","03 Oslo","0301 Oslo"
2025,202505,3616,".9","Delvis ledige","03 Oslo","0301 Oslo"
2025,202504,11135,"2.7","Helt ledige","03 Oslo","0301 Oslo"
2025,202501,2166,".5","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2024,202412,2253,".5","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2024,202401,3307,".8","Delvis ledige","03 Oslo","0301 Oslo"
2024,202409,3231,".8","Delvis ledige","03 Oslo","0301 Oslo"
2024,202404,3556,".9","Delvis ledige","03 Oslo","0301 Oslo"
2024,202405,3618,".9","Delvis ledige","03 Oslo","0301 Oslo"
2025,202506,1662,".4","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2024,202403,3593,".9","Delvis ledige","03 Oslo","0301 Oslo"
2024,202405,10064,"2.5","Helt ledige","03 Oslo","0301 Oslo"
2025,202506,3759,".9","Delvis ledige","03 Oslo","0301 Oslo"
2025,202507,1146,".3","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2024,202405,1933,".5","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2025,202508,11991,"2.9","Helt ledige","03 Oslo","0301 Oslo"
2024,202409,2033,".5","Arbeidssøkere på tiltak","03 Oslo","0301 Oslo"
2025,202504,3443,".8","Delvis ledige","03 Oslo","0301 Oslo"
2025,202506,1053,".7","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202409,1196,".8","Delvis ledige","42 Agder","I alt"
2024,202403,1497,"1","Delvis ledige","42 Agder","I alt"
2024,202410,3230,"2.1","Helt ledige","42 Agder","I alt"
2024,202403,3252,"2.1","Helt ledige","42 Agder","I alt"
2025,202507,1058,".7","Delvis ledige","42 Agder","I alt"
2025,202507,810,".5","Arbeidssøkere på tiltak","42 Agder","I alt"
2025,202505,1217,".8","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202409,3312,"2.1","Helt ledige","42 Agder","I alt"
2025,202501,3761,"2.4","Helt ledige","42 Agder","I alt"
2024,202402,1451,".9","Delvis ledige","42 Agder","I alt"
2024,202407,901,".6","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202411,1376,".9","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202406,1042,".7","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202405,1211,".8","Arbeidssøkere på tiltak","42 Agder","I alt"
2025,202508,3396,"2.1","Helt ledige","42 Agder","I alt"
2024,202409,1263,".8","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202408,1094,".7","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202405,2994,"1.9","Helt ledige","42 Agder","I alt"
2025,202505,1327,".8","Delvis ledige","42 Agder","I alt"
2025,202502,1468,".9","Arbeidssøkere på tiltak","42 Agder","I alt"
2025,202504,3004,"1.9","Helt ledige","42 Agder","I alt"
2024,202407,975,".6","Delvis ledige","42 Agder","I alt"
2024,202401,1350,".9","Delvis ledige","42 Agder","I alt"
2025,202507,3313,"2.1","Helt ledige","42 Agder","I alt"
2024,202410,1310,".8","Arbeidssøkere på tiltak","42 Agder","I alt"
2025,202501,1363,".9","Arbeidssøkere på tiltak","42 Agder","I alt"
2025,202505,2915,"1.8","Helt ledige","42 Agder","I alt"
2024,202406,3102,"2","Helt ledige","42 Agder","I alt"
2024,202402,3466,"2.2","Helt ledige","42 Agder","I alt"
2025,202508,838,".5","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202407,3380,"2.1","Helt ledige","42 Agder","I alt"
2025,202501,1248,".8","Delvis ledige","42 Agder","I alt"
2024,202412,1431,".9","Delvis ledige","42 Agder","I alt"
2025,202506,1308,".8","Delvis ledige","42 Agder","I alt"
2025,202504,1338,".8","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202405,1287,".8","Delvis ledige","42 Agder","I alt"
2025,202503,1554,"1","Arbeidssøkere på tiltak","42 Agder","I alt"
2025,202503,1388,".9","Delvis ledige","42 Agder","I alt"
2024,202412,1306,".8","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202401,3502,"2.2","Helt ledige","42 Agder","I alt"
2025,202508,1202,".8","Delvis ledige","42 Agder","I alt"
2024,202402,1157,".7","Arbeidssøkere på tiltak","42 Agder","I alt"
2025,202503,3358,"2.1","Helt ledige","42 Agder","I alt"
2024,202403,1207,".8","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202408,1118,".7","Delvis ledige","42 Agder","I alt"
2024,202406,1317,".8","Delvis ledige","42 Agder","I alt"
2024,202408,3351,"2.1","Helt ledige","42 Agder","I alt"
2025,202506,3002,"1.9","Helt ledige","42 Agder","I alt"
2024,202401,1039,".7","Arbeidssøkere på tiltak","42 Agder","I alt"
2024,202404,1363,".9","Delvis ledige","42 Agder","I alt"
2024,202404,1307,".8","Arbeidssøkere på tiltak","42 Agder","I alt"
2025,202504,1235,".8","Delvis ledige","42 Agder","I alt"
2024,202404,3013,"1.9","Helt ledige","42 Agder","I alt"
2025,202502,1354,".8","Delvis ledige","42 Agder","I alt"
2024,202410,1295,".8","Delvis ledige","42 Agder","I alt"
2025,202502,3631,"2.3","Helt ledige","42 Agder","I alt"
2024,202411,3246,"2.1","Helt ledige","42 Agder","I alt"
2024,202412,3369,"2.1","Helt ledige","42 Agder","I alt"
2025,202505,112,"1","Delvis ledige","42 Agder","4205 Lindesnes"
2024,202406,38,"1.3","Delvis ledige","42 Agder","4213 Tvedestrand"
2024,202403,91,"1.9","Helt ledige","42 Agder","4206 Farsund"
2025,202504,6,".9","Helt ledige","42 Agder","4221 Valle"
2024,202407,103,".5","Delvis ledige","42 Agder","4203 Arendal"
2025,202503,3,".5","Delvis ledige","42 Agder","4218 Iveland"
2024,202410,21,".7","Arbeidssøkere på tiltak","42 Agder","4201 Risør"
2024,202403,36,"1.2","Delvis ledige","42 Agder","4227 Kvinesdal"
2025,202504,44,"1.4","Helt ledige","42 Agder","4227 Kvinesdal"
2025,202502,63,"2","Helt ledige","42 Agder","4214 Froland"
2025,202508,95,".8","Delvis ledige","42 Agder","4202 Grimstad"
2024,202405,4,".7","Arbeidssøkere på tiltak","42 Agder","4222 Bykle"
2025,202501,148,"2.6","Helt ledige","42 Agder","4215 Lillesand"
2024,202401,2,".3","Delvis ledige","42 Agder","4218 Iveland"
2024,202406,35,".7","Arbeidssøkere på tiltak","42 Agder","4206 Farsund"
2025,202503,7,"1.1","Helt ledige","42 Agder","4221 Valle"
2025,202503,55,"2","Helt ledige","42 Agder","4216 Birkenes"
2024,202407,3,".5","Delvis ledige","42 Agder","4220 Bygland"
2024,202409,9,".8","Arbeidssøkere på tiltak","42 Agder","4211 Gjerstad"
2025,202503,7,"1.1","Delvis ledige","42 Agder","4222 Bykle"
2024,202411,116,".9","Arbeidssøkere på tiltak","42 Agder","4202 Grimstad"
2025,202506,,"","Arbeidssøkere på tiltak","42 Agder","4222 Bykle"
2024,202409,7,"1.1","Helt ledige","42 Agder","4221 Valle"
2025,202504,11,"1","Arbeidssøkere på tiltak","42 Agder","4212 Vegårshei"
2024,202412,118,"1","Arbeidssøkere på tiltak","42 Agder","4205 Lindesnes"
2025,202501,311,"2.5","Helt ledige","42 Agder","4202 Grimstad"
2024,202401,45,"1.5","Delvis ledige","42 Agder","4201 Risør"
2024,202409,10,"1.2","Arbeidssøkere på tiltak","42 Agder","4217 Åmli"
2024,202404,30,".7","Delvis ledige","42 Agder","4207 Flekkefjord"
2024,202410,69,"1.5","Arbeidssøkere på tiltak","42 Agder","4207 Flekkefjord"
2024,202410,3,".3","Delvis ledige","42 Agder","4228 Sirdal"
2024,202410,31,"1.1","Delvis ledige","42 Agder","4213 Tvedestrand"
2024,202411,1349,".9","Delvis ledige","42 Agder","I alt"
2024,202405,7,".6","Delvis ledige","42 Agder","4212 Vegårshei"
2025,202502,17,"1.5","Helt ledige","42 Agder","4212 Vegårshei"
2025,202507,22,".5","Delvis ledige","42 Agder","4207 Flekkefjord"
2024,202410,10,"1.7","Helt ledige","42 Agder","4220 Bygland"
2024,202401,112,"2.3","Helt ledige","42 Agder","4206 Farsund"
2024,202403,54,"1.1","Arbeidssøkere på tiltak","42 Agder","4206 Farsund"
2024,202401,93,"2","Helt ledige","42 Agder","4207 Flekkefjord"
2025,202504,14,".7","Delvis ledige","42 Agder","4219 Evje og Hornnes"
2025,202505,1056,"1.8","Helt ledige","42 Agder","4204 Kristiansand"
2024,202407,4,".8","Delvis ledige","42 Agder","4224 Åseral"
2024,202407,46,"1.7","Helt ledige","42 Agder","4216 Birkenes"
2024,202404,1,".2","Arbeidssøkere på tiltak","42 Agder","4224 Åseral"
2025,202505,5,".6","Delvis ledige","42 Agder","4217 Åmli"
2025,202505,102,".9","Arbeidssøkere på tiltak","42 Agder","4205 Lindesnes"
2024,202410,16,".5","Delvis ledige","42 Agder","4214 Froland"
2024,202405,7,"1.3","Delvis ledige","42 Agder","4224 Åseral"
2025,202508,22,".4","Arbeidssøkere på tiltak","42 Agder","4215 Lillesand"
2024,202406,83,"1.7","Helt ledige","42 Agder","4206 Farsund"
2025,202507,17,".6","Delvis ledige","42 Agder","4227 Kvinesdal"
2025,202507,5,".8","Delvis ledige","42 Agder","4222 Bykle"
2024,202402,1,".2","Arbeidssøkere på tiltak","42 Agder","4224 Åseral"
2025,202504,4,".7","Helt ledige","42 Agder","4220 Bygland"
2024,202408,72,"1.5","Helt ledige","42 Agder","4206 Farsund"
2024,202407,3,".5","Helt ledige","42 Agder","4220 Bygland"
2024,202406,5,".5","Delvis ledige","42 Agder","4228 Sirdal"
2024,202407,1269,"2.1","Helt ledige","42 Agder","4204 Kristiansand"
2024,202407,24,".5","Arbeidssøkere på tiltak","42 Agder","4225 Lyngdal"
2024,202410,26,"2.2","Helt ledige","42 Agder","4211 Gjerstad"
2024,202408,12,"1.2","Helt ledige","42 Agder","4228 Sirdal"
2024,202411,79,"1.7","Arbeidssøkere på tiltak","42 Agder","4207 Flekkefjord"
2025,202507,2,".3","Arbeidssøkere på tiltak","42 Agder","4222 Bykle"
2024,202405,2,".2","Arbeidssøkere på tiltak","42 Agder","4226 Hægebostad"
2025,202506,131,"2.3","Helt ledige","42 Agder","4215 Lillesand"
2024,202412,6,"1","Arbeidssøkere på tiltak","42 Agder","4220 Bygland"
2025,202508,73,"1.5","Helt ledige","42 Agder","4206 Farsund"
2024,202403,8,".7","Delvis ledige","42 Agder","4211 Gjerstad"
2024,202408,26,"2.4","Helt ledige","42 Agder","4212 Vegårshei"
2025,202503,5,".9","Helt ledige","42 Agder","4220 Bygland"
2024,202402,3,".3","Arbeidssøkere på tiltak","42 Agder","4226 Hægebostad"
2024,202409,1,".2","Helt ledige","42 Agder","4224 Åseral"
2024,202402,43,".9","Delvis ledige","42 Agder","4206 Farsund"
2024,202406,38,"1.2","Helt ledige","42 Agder","4214 Froland"
2024,202412,26,".9","Delvis ledige","42 Agder","4227 Kvinesdal"
2025,202506,250,"2.1","Helt ledige","42 Agder","4205 Lindesnes"
2024,202410,5,".8","Delvis ledige","42 Agder","4221 Valle"
2024,202411,4,".4","Delvis ledige","42 Agder","4228 Sirdal"
2024,202408,27,".5","Arbeidssøkere på tiltak","42 Agder","4215 Lillesand"
2024,202405,6,".6","Delvis ledige","42 Agder","4228 Sirdal"
2024,202401,35,".8","Delvis ledige","42 Agder","4207 Flekkefjord"
2025,202504,155,"2","Helt ledige","42 Agder","4223 Vennesla"
2025,202506,37,".5","Arbeidssøkere på tiltak","42 Agder","4223 Vennesla"
2025,202503,21,".8","Delvis ledige","42 Agder","4216 Birkenes"
2024,202410,8,"1.2","Helt ledige","42 Agder","4221 Valle"
